0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:39:19 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:39:20 +0900] "POST /sample-web/GoLoginAction HTTP/1.1" 200 4601
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:39:20 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:39:21 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:39:29 +0900] "GET /sample-web/createDestination.jsp HTTP/1.1" 500 245
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:39:47 +0900] "GET /sample-web/createDestination.jsp HTTP/1.1" 500 245
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:39:54 +0900] "GET /sample-web/createDestinationComplete.jsp HTTP/1.1" 200 2696
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:39:54 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:40:09 +0900] "GET /sample-web/createDestinationConfirm.jsp HTTP/1.1" 200 4393
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:40:09 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:40:18 +0900] "GET /sample-web/createUser.jsp HTTP/1.1" 500 245
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:40:25 +0900] "GET /sample-web/createUserComplete.jsp HTTP/1.1" 200 2762
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:40:25 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:40:28 +0900] "GET /sample-web/HomeAction HTTP/1.1" 200 2588
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:40:28 +0900] "GET /sample-web/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:40:28 +0900] "GET /sample-web/js/smoothscroll.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:40:28 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:40:31 +0900] "GET /sample-web/createUserConfirm.jsp HTTP/1.1" 200 4223
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:40:31 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:40:41 +0900] "GET /sample-web/header.jsp HTTP/1.1" 200 1911
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:40:47 +0900] "POST /sample-web/SearchItemAction HTTP/1.1" 200 5719
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:40:47 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:40:51 +0900] "POST /sample-web/ProductListAction HTTP/1.1" 200 5720
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:40:51 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:41:01 +0900] "GET /sample-web/home.jsp HTTP/1.1" 200 2579
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:41:01 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:41:09 +0900] "GET /sample-web/index.jsp HTTP/1.1" 200 701
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:41:09 +0900] "GET /sample-web/HomeAction HTTP/1.1" 200 2588
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:41:09 +0900] "GET /sample-web/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:41:09 +0900] "GET /sample-web/js/smoothscroll.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:41:09 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:41:18 +0900] "GET /sample-web/login.jsp HTTP/1.1" 200 4570
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:41:18 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:41:26 +0900] "GET /sample-web/mypage.jsp HTTP/1.1" 200 3349
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:41:26 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:41:32 +0900] "GET /sample-web/productDetails.jsp HTTP/1.1" 200 7581
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:41:32 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:41:41 +0900] "GET /sample-web/productList.jsp HTTP/1.1" 200 2661
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:41:42 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:41:52 +0900] "GET /sample-web/purchaseHistory.jsp HTTP/1.1" 200 3453
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:41:52 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:42:08 +0900] "GET /sample-web/resetPassword.jsp HTTP/1.1" 200 3904
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:42:08 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:42:15 +0900] "GET /sample-web/resetPasswordComplete.jsp HTTP/1.1" 200 2690
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:42:15 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:42:29 +0900] "GET /sample-web/resetPassword.jsp HTTP/1.1" 200 3904
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:42:29 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:42:35 +0900] "GET /sample-web/resetPasswordComplete.jsp HTTP/1.1" 200 2690
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:42:35 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:42:42 +0900] "GET /sample-web/resetPasswordConfirm.jsp HTTP/1.1" 200 2916
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:42:42 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:42:51 +0900] "GET /sample-web/settlementComplete.jsp HTTP/1.1" 200 2722
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:42:51 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:42:55 +0900] "GET /sample-web/HomeAction HTTP/1.1" 200 2588
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:42:55 +0900] "GET /sample-web/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:42:55 +0900] "GET /sample-web/js/smoothscroll.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:42:55 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:43:04 +0900] "GET /sample-web/settlementConfirm.jsp HTTP/1.1" 200 3974
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:43:04 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:43:17 +0900] "GET /sample-web/successUserImage.jsp HTTP/1.1" 200 806
0:0:0:0:0:0:0:1 - - [06/Jul/2018:17:43:17 +0900] "GET /sample-web/userimages/ HTTP/1.1" 200 3317
